"sample","keggid","gene","pathway","tpm","num_reads"
"A_dentosus_BEC331","K11962","urtABCDE","urea transport",4110.088867,11
"A_dentosus_BEC331","K00362","nirBD","dissimilatory nitrate reduction",4029.739281,12
"A_dentosus_BEC331","K11962","urtABCDE","urea transport",5686.440609,13
"A_dentosus_BEC331","K00122","fdhF","reductive acetogenesis",3171.360308,14
"A_heterognathus_BEC338","K00266","gltBD","glutamate synthesis",2033.466797,10
"A_heterognathus_BEC338","K11962","urtABCDE","urea transport",842.712703,18
"A_heterognathus_BEC338","K00266","gltBD","glutamate synthesis",1364.462955,11
"A_heterognathus_BEC338","K11960","urtABCDE","urea transport",3525.183552,5
"A_heterognathus_BEC338","K11959","urtABCDE","urea transport",3525.183552,5
"A_heterognathus_BEC338","K11962","urtABCDE","urea transport",896.327758,20
"A_heterognathus_BEC338","K11962","urtABCDE","urea transport",896.327758,20
"A_heterognathus_BEC338","K11962","urtABCDE","urea transport",1905.914187,32
"A_heterognathus_BEC338","K00266","gltBD","glutamate synthesis",796.098827,29
"A_heterognathus_BEC338","K00371","narGHI","dissimilatory nitrate reduction",1762.134309,19
"A_heterognathus_BEC338","K00625","pta","reductive acetogenesis",1762.134309,19
"A_heterognathus_BEC338","K00370","narGHI","dissimilatory nitrate reduction",1762.134309,19
"A_heterognathus_BEC338","K00370","narGHI","dissimilatory nitrate reduction",1762.134309,19
"A_heterognathus_BEC338","K00370","narGHI","dissimilatory nitrate reduction",1762.134309,19
"A_heterognathus_BEC338","K11962","urtABCDE","urea transport",1338.723623,42
"A_heterognathus_BEC338","K11962","urtABCDE","urea transport",1096.967387,25
"A_heterognathus_BEC338","K11963","urtABCDE","urea transport",966.556146,20
"A_heterognathus_BEC338","K11962","urtABCDE","urea transport",2411.154727,17
"A_heterognathus_BEC338","K11962","urtABCDE","urea transport",1005.897164,40
"A_heterognathus_BEC338","K00625","pta","reductive acetogenesis",1242.256407,16
"A_heterognathus_BEC338","K00266","gltBD","glutamate synthesis",2198.713979,21
"A_heterognathus_BEC338","K00370","narGHI","dissimilatory nitrate reduction",1432.258032,25
"A_heterognathus_BEC338","K11962","urtABCDE","urea transport",1169.878803,55
"A_heterognathus_BEC338","K11962","urtABCDE","urea transport",631.465845,10
"A_heterognathus_BEC338","K11962","urtABCDE","urea transport",631.465845,10
"A_heterognathus_BEC338","K11962","urtABCDE","urea transport",1301.000008,10
"A_heterognathus_BEC338","K00266","gltBD","glutamate synthesis",917.104873,23
"A_heterognathus_BEC338","K00395","aprAB","sulfate reduction",1763.314284,38
"A_heterognathus_BEC338","K11962","urtABCDE","urea transport",1254.541075,39
"A_heterognathus_BEC338","K00925","ack","reductive acetogenesis",1093.702476,34
"A_heterognathus_BEC338","K11960","urtABCDE","urea transport",1192.338695,8
"A_heterognathus_BEC338","K11963","urtABCDE","urea transport",1496.251908,15
"A_heterognathus_BEC338","K00370","narGHI","dissimilatory nitrate reduction",1324.715196,24
"A_heterognathus_BEC338","K00370","narGHI","dissimilatory nitrate reduction",1324.715196,24
"A_heterognathus_BEC338","K00370","narGHI","dissimilatory nitrate reduction",1324.715196,24
"A_heterognathus_BEC338","K00370","narGHI","dissimilatory nitrate reduction",1324.715196,24
"A_heterognathus_BEC338","K00926","arcC","arginine synthesis",1144.912793,13
"A_heterognathus_BEC338","K11960","urtABCDE","urea transport",757.172404,20
"A_heterognathus_BEC338","K11963","urtABCDE","urea transport",3208.526491,5
"A_heterognathus_BEC338","K00395","aprAB","sulfate reduction",1435.871635,20
"A_heterognathus_BEC338","K11963","urtABCDE","urea transport",10046.41455,95
"A_heterognathus_BEC338","K11962","urtABCDE","urea transport",1264.794929,24
"A_heterognathus_BEC338","K11962","urtABCDE","urea transport",44919.370877,70
"A_laurensis_BEC5","K11962","urtABCDE","urea transport",1845.717228,8
"A_laurensis_BEC5","K11962","urtABCDE","urea transport",565.47394,2
"A_laurensis_BEC5","K00198","acsABCDE","reductive acetogenesis",4330.114275,77
"A_laurensis_BEC5","K00958","sat","sulfate reduction",1875.53063,21
"A_laurensis_BEC8","K11962","urtABCDE","urea transport",17509.176734,29
"A_laurensis_BEC8","K11962","urtABCDE","urea transport",17509.176734,29
"A_laurensis_BEC8","K11962","urtABCDE","urea transport",17509.176734,29
"A_laurensis_BEC8","K11962","urtABCDE","urea transport",17509.176734,29
