"sample","marker_taxonomy","tpm","num_reads"
"A_heterognathus_BEC338","d__Bacteria",1182.296355,12
"A_heterognathus_BEC338","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae",578.876488,79
"A_heterognathus_BEC338","d__Bacteria",866.071129,51
"A_heterognathus_BEC338","d__Bacteria;p__Bacillota;c__Clostridia",734.547422,15
"A_heterognathus_BEC338","d__Bacteria",1688.217708,13
"A_heterognathus_BEC338","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae",649.727974,30
"A_heterognathus_BEC338","d__Bacteria;p__Bacillota;c__Clostridia",517.431243,61
"A_heterognathus_BEC338","d__Bacteria",1822.588007,19
"A_heterognathus_BEC338","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae",1168.766106,9
"A_heterognathus_BEC338","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae",555.841475,34
"A_heterognathus_BEC338","d__Bacteria;p__Fibrobacterota;c__Chitinivibrionia;o__Chitinivibrionales;f__Chitinispirillaceae",799.28864,67
"A_heterognathus_BEC338","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae",573.999323,89
"A_laurensis_BEC8","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E",1885.789385,12
"A_laurensis_BEC8","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales",854.760628,14
"A_obeuntis_BEC335","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae",2342.764208,21
"A_obeuntis_BEC335","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__WRMH01",2200.034902,26
"A_obeuntis_BEC335","d__Bacteria",1871.969229,19
"A_obeuntis_BEC335","d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae",801.620524,80
"A_obeuntis_BEC335","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae",1037.989028,120
