pathway,pathway_in_detail,keggid,gene
methanogenesis,coenzyme_M_reduction_to_methane,K00399,mcrA
methanogenesis,coenzyme_M_reduction_to_methane,K00401,mcrB
methanogenesis,coenzyme_M_reduction_to_methane,K00402,mcrG
methanogenesis,coenzyme_M_reduction_to_methane,K03421,mcrC
methanogenesis,coenzyme_M_reduction_to_methane,K03422,mcrD
methanogenesis,methanogenesis_via_acetate,K00193,cdhC
methanogenesis,methanogenesis_via_acetate,K00194,cdhD
methanogenesis,methanogenesis_via_acetate,K00197,cdhE
methanogenesis,methanogenesis_via_acetate,K00925,ack
methanogenesis,methanogenesis_via_acetate,K01895,acs
methanogenesis,methanogenesis_via_acetate,K13788,pta
methanogenesis,methanogenesis_via_CO2,K00200,fmdA
methanogenesis,methanogenesis_via_CO2,K00201,fmdB
methanogenesis,methanogenesis_via_CO2,K00202,fmdC
methanogenesis,methanogenesis_via_CO2,K00203,fmdD
methanogenesis,methanogenesis_via_CO2,K11261,fmdE
methanogenesis,methanogenesis_via_CO2,K00205,fmdF
methanogenesis,methanogenesis_via_CO2,K11260,fmdG
methanogenesis,methanogenesis_via_CO2,K00204,fmdH
methanogenesis,methanogenesis_via_CO2,K00672,ftr
methanogenesis,methanogenesis_via_CO2,K01499,mch
methanogenesis,methanogenesis_via_CO2,K00319,mtd
methanogenesis,methanogenesis_via_CO2,K13942,hmd
methanogenesis,methanogenesis_via_CO2,K00320,mer
methanogenesis,methanogenesis_via_CO2,K00577,mtrA
methanogenesis,methanogenesis_via_CO2,K00578,mtrB
methanogenesis,methanogenesis_via_CO2,K00579,mtrC
methanogenesis,methanogenesis_via_CO2,K00580,mtrD
methanogenesis,methanogenesis_via_CO2,K00581,mtrE
methanogenesis,methanogenesis_via_CO2,K00582,mtrF
methanogenesis,methanogenesis_via_CO2,K00583,mtrG
methanogenesis,methanogenesis_via_CO2,K00584,mtrH
methanogenesis,methanogenesis_via_CO2,K00192,cdhA
methanogenesis,methanogenesis_via_CO2,K00195,cdhB
methanogenesis,methanogenesis_via_CO2,K13812,fae-hps
methanogenesis,methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine,K14082,mtbA
methanogenesis,methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine,K16176,mtmB
methanogenesis,methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine,K16177,mtmC
methanogenesis,methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine,K16178,mtbB
methanogenesis,methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine,K16179,mtbC
methanogenesis,methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine,K14083,mttB
methanogenesis,methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine,K14084,mttC
methanogenesis,methanogenesis_via_Methanol,K14080,mtaA
methanogenesis,methanogenesis_via_Methanol,K04480,mtaB
methanogenesis,methanogenesis_via_Methanol,K14081,mtaC
methanogenesis,hydrogenases associated with methanogenesis,K14086,echA
methanogenesis,hydrogenases associated with methanogenesis,K14087,echB
methanogenesis,hydrogenases associated with methanogenesis,K14088,echC
methanogenesis,hydrogenases associated with methanogenesis,K14089,echD
methanogenesis,hydrogenases associated with methanogenesis,K14090,echE
methanogenesis,hydrogenases associated with methanogenesis,K14091,echF
methanogenesis,hydrogenases associated with methanogenesis,K00440,frhA
methanogenesis,hydrogenases associated with methanogenesis,K00441,frhB
methanogenesis,hydrogenases associated with methanogenesis,K00443,frhC
methanogenesis,hydrogenases associated with methanogenesis,K14126,mvhA
methanogenesis,hydrogenases associated with methanogenesis,K14127,mvhD
methanogenesis,hydrogenases associated with methanogenesis,K14128,mvhG
methanogenesis,hydrogenases associated with methanogenesis,K14068,vhtA
methanogenesis,hydrogenases associated with methanogenesis,K14069,vhtC
methanogenesis,hydrogenases associated with methanogenesis,K14070,vhtG
methanogenesis,hdr flavoprotein analogs,K03388,hdrA2
methanogenesis,hdr flavoprotein analogs,K03389,hdrB2
methanogenesis,hdr flavoprotein analogs,K03390,hdrC2
methanogenesis,hdr flavoprotein analogs,K22480,hdrA1
methanogenesis,hdr flavoprotein analogs,K22481,hdrB1
methanogenesis,hdr flavoprotein analogs,K22482,hdrC1
methanogenesis,fdhAB,K00125,fhdB
methanogenesis,fdhAB,K22516,fdhA
methanogenesis,rnf  complex,K03617,rnfA
methanogenesis,rnf  complex,K03614,rnfD
methanogenesis,rnf  complex,K03615,rnfC
methanogenesis,rnf  complex,K03616,rnfB
methanogenesis,rnf  complex,K03613,rnfE
methanogenesis,rnf  complex,K03612,rnfG
reductive acetogenesis,Formate-tetrahydrofolate ligase FTHFS,K01938,fhs
reductive acetogenesis,Methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase FolD,K01491,folD
reductive acetogenesis,"510-Methylenetetrahydrofolate reductase (ferredoxin)",K00297,metF
reductive acetogenesis,Formate dehydrogenase H,K00122,fdhF1
reductive acetogenesis,Ni-dependent carbon monoxide dehydrogenase (CODH) catalytic subunit,K00198,acsA
reductive acetogenesis,Acetyl-CoA synthase (ACS) catalytic subunit,K14138,acsB
reductive acetogenesis,Acetyl-CoA decarbonylase/synthase delta subunit (corrinoid iron-sulfur protein),K00194,acsD
reductive acetogenesis,CO-methylating acetyl-CoA synthase corrinoid iron-sulfur protein large subunit precursor,K00197,acsC
reductive acetogenesis,5-Methyltetrahydrofolate:corrinoid/iron-sulfur protein Co-methyltransferase,K15023,acsE
reductive acetogenesis,Phosphate acetyltransferase,K00625,pta
reductive acetogenesis,Acetate kinase,K00925,ack
reductive acetogenesis,NADP-reducing hydrogenase subunit HndA,K18330,hndA
reductive acetogenesis,NADP-reducing hydrogenase subunit HndB,K17992,hndB
reductive acetogenesis,NADP-reducing hydrogenase subunit HndC,K18331,hndC
reductive acetogenesis,NADP-reducing hydrogenase subunit HndD,K18332,hndD
reductive acetogenesis,Na+-translocating ferredoxin:NAD+ oxidoreductase subunit A,K03617,rnfA
reductive acetogenesis,Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D,K03614,rnfD
reductive acetogenesis,Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C,K03615,rnfC
reductive acetogenesis,Na+-translocating ferredoxin:NAD+ oxidoreductase subunit B,K03616,rnfB
reductive acetogenesis,Na+-translocating ferredoxin:NAD+ oxidoreductase subunit E,K03613,rnfE
reductive acetogenesis,Na+-translocating ferredoxin:NAD+ oxidoreductase subunit G,K03612,rnfG
reductive acetogenesis,F-type H+/Na+-transporting ATPase subunit alpha,K02111,atpA
reductive acetogenesis,F-type H+/Na+-transporting ATPase subunit beta,K02112,atpB
sulfate reduction,adenylylsulfate reductase subunit A,K00394,AprA
sulfate reduction,adenylylsulfate reductase subunit B,K00395,AprB
sulfate reduction,sulfate adenylyltransferase,K00958,SAT
sulfate reduction,dissimilatory sulfite reductase alpha subunit,K11180,DsrA
sulfate reduction,dissimilatory sulfite reductase beta subunit,K11181,DsrB
sulfate reduction,tRNA 2-thiouridine synthesizing protein E,K11179,DsrC
sulfate reduction,tRNA 2-thiouridine synthesizing protein D ,K07235,DsrE
sulfate reduction,tRNA 2-thiouridine synthesizing protein C,K07236,DsrF
sulfate reduction,tRNA 2-thiouridine synthesizing protein B,K07237,DsrH
