"bin","completeness","contamination","keggid","binary","pathway","pathway_in_detail","gene"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K00192","absent","methanogenesis","methanogenesis_via_CO2","cdhA"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K00193","absent","methanogenesis","methanogenesis_via_acetate","cdhC"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K00194","absent","reductive acetogenesis","Acetyl-CoA decarbonylase/synthase delta subunit (corrinoid iron-sulfur protein)","acsD"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K00194","absent","methanogenesis","methanogenesis_via_acetate","cdhD"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K00197","absent","reductive acetogenesis","CO-methylating acetyl-CoA synthase corrinoid iron-sulfur protein large subunit precursor","acsC"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K00197","absent","methanogenesis","methanogenesis_via_acetate","cdhE"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K00198","absent","reductive acetogenesis","Ni-dependent carbon monoxide dehydrogenase (CODH) catalytic subunit","acsA"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K00394","absent","sulfate reduction","adenylylsulfate reductase subunit A","AprA"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K00583","absent","methanogenesis","methanogenesis_via_CO2","mtrG"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K00925","absent","reductive acetogenesis","Acetate kinase","ack"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K00925","absent","methanogenesis","methanogenesis_via_acetate","ack"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K00958","absent","sulfate reduction","sulfate adenylyltransferase","SAT"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K01938","absent","reductive acetogenesis","Formate-tetrahydrofolate ligase FTHFS","fhs"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K02111","present","reductive acetogenesis","F-type H+/Na+-transporting ATPase subunit alpha","atpA"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K03388","absent","methanogenesis","hdr flavoprotein analogs","hdrA2"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K03612","absent","methanogenesis","rnf  complex","rnfG"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K03612","absent","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit G","rnfG"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K03613","absent","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit E","rnfE"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K03613","absent","methanogenesis","rnf  complex","rnfE"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K03614","present","methanogenesis","rnf  complex","rnfD"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K03614","present","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D","rnfD"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K03615","absent","methanogenesis","rnf  complex","rnfC"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K03615","absent","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C","rnfC"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K03617","absent","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit A","rnfA"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K03617","absent","methanogenesis","rnf  complex","rnfA"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K11181","absent","sulfate reduction","dissimilatory sulfite reductase beta subunit","DsrB"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K11261","absent","methanogenesis","methanogenesis_via_CO2","fmdE"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K13788","present","methanogenesis","methanogenesis_via_acetate","pta"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K14080","absent","methanogenesis","methanogenesis_via_Methanol","mtaA"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K14081","absent","methanogenesis","methanogenesis_via_Methanol","mtaC"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K14086","absent","methanogenesis","hydrogenases associated with methanogenesis","echA"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K14091","absent","methanogenesis","hydrogenases associated with methanogenesis","echF"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K16177","absent","methanogenesis","methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine","mtmC"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K16178","absent","methanogenesis","methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine","mtbB"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K16179","absent","methanogenesis","methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine","mtbC"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K17992","absent","reductive acetogenesis","NADP-reducing hydrogenase subunit HndB","hndB"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K18331","absent","reductive acetogenesis","NADP-reducing hydrogenase subunit HndC","hndC"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K18332","absent","reductive acetogenesis","NADP-reducing hydrogenase subunit HndD","hndD"
"A_heterognathus_BEC338_bin.1",67.51,3.13,"K22480","absent","methanogenesis","hdr flavoprotein analogs","hdrA1"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K00192","absent","methanogenesis","methanogenesis_via_CO2","cdhA"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K00193","absent","methanogenesis","methanogenesis_via_acetate","cdhC"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K00194","absent","reductive acetogenesis","Acetyl-CoA decarbonylase/synthase delta subunit (corrinoid iron-sulfur protein)","acsD"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K00194","absent","methanogenesis","methanogenesis_via_acetate","cdhD"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K00197","absent","reductive acetogenesis","CO-methylating acetyl-CoA synthase corrinoid iron-sulfur protein large subunit precursor","acsC"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K00197","absent","methanogenesis","methanogenesis_via_acetate","cdhE"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K00198","absent","reductive acetogenesis","Ni-dependent carbon monoxide dehydrogenase (CODH) catalytic subunit","acsA"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K00394","absent","sulfate reduction","adenylylsulfate reductase subunit A","AprA"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K00583","present","methanogenesis","methanogenesis_via_CO2","mtrG"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K00925","present","reductive acetogenesis","Acetate kinase","ack"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K00925","present","methanogenesis","methanogenesis_via_acetate","ack"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K00958","absent","sulfate reduction","sulfate adenylyltransferase","SAT"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K01938","present","reductive acetogenesis","Formate-tetrahydrofolate ligase FTHFS","fhs"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K02111","present","reductive acetogenesis","F-type H+/Na+-transporting ATPase subunit alpha","atpA"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K03388","absent","methanogenesis","hdr flavoprotein analogs","hdrA2"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K03612","present","methanogenesis","rnf  complex","rnfG"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K03612","present","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit G","rnfG"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K03613","present","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit E","rnfE"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K03613","present","methanogenesis","rnf  complex","rnfE"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K03614","absent","methanogenesis","rnf  complex","rnfD"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K03614","absent","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D","rnfD"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K03615","absent","methanogenesis","rnf  complex","rnfC"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K03615","absent","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C","rnfC"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K03617","present","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit A","rnfA"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K03617","present","methanogenesis","rnf  complex","rnfA"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K11181","absent","sulfate reduction","dissimilatory sulfite reductase beta subunit","DsrB"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K11261","absent","methanogenesis","methanogenesis_via_CO2","fmdE"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K13788","absent","methanogenesis","methanogenesis_via_acetate","pta"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K14080","present","methanogenesis","methanogenesis_via_Methanol","mtaA"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K14081","absent","methanogenesis","methanogenesis_via_Methanol","mtaC"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K14086","absent","methanogenesis","hydrogenases associated with methanogenesis","echA"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K14091","absent","methanogenesis","hydrogenases associated with methanogenesis","echF"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K16177","absent","methanogenesis","methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine","mtmC"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K16178","absent","methanogenesis","methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine","mtbB"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K16179","absent","methanogenesis","methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine","mtbC"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K17992","present","reductive acetogenesis","NADP-reducing hydrogenase subunit HndB","hndB"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K18331","absent","reductive acetogenesis","NADP-reducing hydrogenase subunit HndC","hndC"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K18332","present","reductive acetogenesis","NADP-reducing hydrogenase subunit HndD","hndD"
"A_obeuntis_BEC335_bin.1",77.88,6.53,"K22480","absent","methanogenesis","hdr flavoprotein analogs","hdrA1"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K00192","absent","methanogenesis","methanogenesis_via_CO2","cdhA"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K00193","absent","methanogenesis","methanogenesis_via_acetate","cdhC"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K00194","absent","reductive acetogenesis","Acetyl-CoA decarbonylase/synthase delta subunit (corrinoid iron-sulfur protein)","acsD"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K00194","absent","methanogenesis","methanogenesis_via_acetate","cdhD"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K00197","absent","reductive acetogenesis","CO-methylating acetyl-CoA synthase corrinoid iron-sulfur protein large subunit precursor","acsC"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K00197","absent","methanogenesis","methanogenesis_via_acetate","cdhE"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K00198","absent","reductive acetogenesis","Ni-dependent carbon monoxide dehydrogenase (CODH) catalytic subunit","acsA"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K00394","absent","sulfate reduction","adenylylsulfate reductase subunit A","AprA"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K00583","absent","methanogenesis","methanogenesis_via_CO2","mtrG"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K00925","present","reductive acetogenesis","Acetate kinase","ack"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K00925","present","methanogenesis","methanogenesis_via_acetate","ack"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K00958","absent","sulfate reduction","sulfate adenylyltransferase","SAT"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K01938","absent","reductive acetogenesis","Formate-tetrahydrofolate ligase FTHFS","fhs"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K02111","present","reductive acetogenesis","F-type H+/Na+-transporting ATPase subunit alpha","atpA"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K03388","absent","methanogenesis","hdr flavoprotein analogs","hdrA2"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K03612","absent","methanogenesis","rnf  complex","rnfG"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K03612","absent","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit G","rnfG"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K03613","present","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit E","rnfE"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K03613","present","methanogenesis","rnf  complex","rnfE"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K03614","present","methanogenesis","rnf  complex","rnfD"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K03614","present","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D","rnfD"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K03615","present","methanogenesis","rnf  complex","rnfC"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K03615","present","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C","rnfC"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K03617","present","reductive acetogenesis","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit A","rnfA"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K03617","present","methanogenesis","rnf  complex","rnfA"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K11181","absent","sulfate reduction","dissimilatory sulfite reductase beta subunit","DsrB"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K11261","absent","methanogenesis","methanogenesis_via_CO2","fmdE"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K13788","present","methanogenesis","methanogenesis_via_acetate","pta"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K14080","absent","methanogenesis","methanogenesis_via_Methanol","mtaA"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K14081","absent","methanogenesis","methanogenesis_via_Methanol","mtaC"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K14086","absent","methanogenesis","hydrogenases associated with methanogenesis","echA"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K14091","absent","methanogenesis","hydrogenases associated with methanogenesis","echF"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K16177","absent","methanogenesis","methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine","mtmC"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K16178","absent","methanogenesis","methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine","mtbB"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K16179","absent","methanogenesis","methanogenesis_via_Monomethylamine/Dimethylamine/Trimethylamine","mtbC"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K17992","absent","reductive acetogenesis","NADP-reducing hydrogenase subunit HndB","hndB"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K18331","absent","reductive acetogenesis","NADP-reducing hydrogenase subunit HndC","hndC"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K18332","absent","reductive acetogenesis","NADP-reducing hydrogenase subunit HndD","hndD"
"A_obeuntis_BEC335_bin.2",70.55,1.13,"K22480","present","methanogenesis","hdr flavoprotein analogs","hdrA1"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K00192","absent","methanogenesis","methanogenesis_via_CO2","cdhA"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K00193","absent","methanogenesis","methanogenesis_via_acetate","cdhC"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K00194","absent","reductive acetogenesis","Acetyl-CoA decarbonylase/synthase delta subunit (corrinoid iron-sulfur protein)","acsD"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K00194","absent","methanogenesis","methanogenesis_via_acetate","cdhD"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K00197","absent","reductive acetogenesis","CO-methylating acetyl-CoA synthase corrinoid iron-sulfur protein large subunit precursor","acsC"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K00197","absent","methanogenesis","methanogenesis_via_acetate","cdhE"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K00198","absent","reductive acetogenesis","Ni-dependent carbon monoxide dehydrogenase (CODH) catalytic subunit","acsA"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K00394","absent","sulfate reduction","adenylylsulfate reductase subunit A","AprA"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K00583","absent","methanogenesis","methanogenesis_via_CO2","mtrG"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K00925","absent","reductive acetogenesis","Acetate kinase","ack"
"A_obeuntis_BEC335_bin.3",30.81,6.21,"K00925","absent","methanogenesis","methanogenesis_via_acetate","ack"
